"score","id","category","primary_query","secondary_queries","url","stock","price"
"108","84","Fren Diski","Fren Diski Volvo FH FM FL OEM 8551042 ESD 110 05","Volvo FH Fren Diski | Volvo FH 8551042 | 8551042 Fren Diski | ESD 110 05 Fren Diski | Fren Diski Volvo FH FM FL","https://www.frenciniz.com/urun/84/fren-diski-volvo-fh-fm-fl-oem-8551042-esd-110-05-ekersan","79","4428.01"
"108","230","Fren Diski","Fren Diski Mercedes Axor E.M OEM 204566 ESD 010 18","Mercedes-Benz Axor Fren Diski | Mercedes-Benz Axor 204566 | 204566 Fren Diski | ESD 010 18 Fren Diski | Fren Diski Mercedes Axor E.M","https://www.frenciniz.com/urun/230/fren-diski-mercedes-axor-e-m-oem-204566-esd-010-18-ekersan","74","4870.81"
"108","857","Fren Pabucu","Fren Pabucu BMC Probus Profesyonel Fatih Pro 20 cm OEM (A) E4 EYD 206 02-1","BMC Probus Fren Pabucu | BMC Probus (A) E4 | (A) E4 Fren Pabucu | EYD 206 02-1 Fren Pabucu | Fren Pabucu BMC Probus Profesyonel Fatih Pro 20 cm","https://www.frenciniz.com/urun/857/fren-pabucu-bmc-probus-profesyonel-fatih-pro-20-cm-oem-a-e4-eyd-206-02-1-ekersan","73","924"
"108","168","Fren Diski","Fren Diski ROR Meritor OEM MBR9018 ESD 150 04","ROR dorse dingili Fren Diski | ROR dorse dingili MBR9018 | MBR9018 Fren Diski | ESD 150 04 Fren Diski | Fren Diski ROR Meritor","https://www.frenciniz.com/urun/168/fren-diski-ror-meritor-oem-mbr9018-esd-150-04-ekersan","72","4743.19"
"108","191","Fren Diski","Fren Diski SAF Holland OEM 4079001001 ESD 070 14","SAF dorse dingili Fren Diski | SAF dorse dingili 4079001001 | 4079001001 Fren Diski | ESD 070 14 Fren Diski | Fren Diski SAF Holland","https://www.frenciniz.com/urun/191/fren-diski-saf-holland-oem-4079001001-esd-070-14-ekersan","72","3700.96"
"108","176","Fren Diski","Fren Diski ROR Meritor OEM 68323825 ESD 100 01","ROR dorse dingili Fren Diski | ROR dorse dingili 68323825 | 68323825 Fren Diski | ESD 100 01 Fren Diski | Fren Diski ROR Meritor","https://www.frenciniz.com/urun/176/fren-diski-ror-meritor-oem-68323825-esd-100-01-ekersan","66","5232.4"
"108","860","Fren Pabucu","Fren Pabucu Volvo FH FH12 FM FL BMC Probus Profesyonel Fatih Pro 5 cm OEM (A) G4 EYD 206 01","Volvo FH Fren Pabucu | Volvo FH (A) G4 | (A) G4 Fren Pabucu | EYD 206 01 Fren Pabucu | Fren Pabucu Volvo FH FH12 FM FL BMC Probus Profesyonel Fatih Pro 5 cm","https://www.frenciniz.com/urun/860/fren-pabucu-volvo-fh-fh12-fm-fl-bmc-probus-profesyonel-fatih-pro-5-cm-oem-a-g4-eyd-206-01","65","924"
"108","209","Fren Diski","Fren Diski Renault Midlum Premium Magnum OEM 5010260218 ESD 040 02","Renault Trucks Midlum Fren Diski | Renault Trucks Midlum 5010260218 | 5010260218 Fren Diski | ESD 040 02 Fren Diski | Fren Diski Renault Midlum Premium Magnum","https://www.frenciniz.com/urun/209/fren-diski-renault-midlum-premium-magnum-oem-5010260218-esd-040-02-ekersan","64","4211.44"
"108","228","Fren Diski","Fren Diski Mercedes Actros Axor OEM 9704210112 ESD 010 22","Mercedes-Benz Actros Fren Diski | Mercedes-Benz Actros 9704210112 | 9704210112 Fren Diski | ESD 010 22 Fren Diski | Fren Diski Mercedes Actros Axor","https://www.frenciniz.com/urun/228/fren-diski-mercedes-actros-axor-oem-9704210112-esd-010-22-ekersan","62","4126.36"
"108","197","Fren Diski","Fren Diski BPW ECOPlus OEM 0308834080 ESD 070 06","BPW dorse dingili Fren Diski | BPW dorse dingili 0308834080 | 0308834080 Fren Diski | ESD 070 06 Fren Diski | Fren Diski BPW ECOPlus","https://www.frenciniz.com/urun/197/fren-diski-bpw-ecoplus-oem-0308834080-esd-070-06-ekersan","61","4573.03"
"108","212","Fren Diski","Fren Diski Iveco Eurocargo Stralis Trakker WABCO ABS EBS Arka 220 OEM 2992636 ESD 030 17","Iveco Eurocargo Fren Diski | Iveco Eurocargo 2992636 | 2992636 Fren Diski | ESD 030 17 Fren Diski | Fren Diski Iveco Eurocargo Stralis Trakker WABCO ABS EBS Arka 220","https://www.frenciniz.com/urun/212/fren-diski-iveco-eurocargo-stralis-trakker-wabco-abs-ebs-arka-220-oem-2992636-esd-030-17-ekersan","59","4849.54"
"108","217","Fren Diski","Fren Diski Iveco Eurocargo Stralis Trakker 8 Delik Arka 030 OEM 52226 ESD 030 05","Iveco Eurocargo Fren Diski | Iveco Eurocargo 52226 | 52226 Fren Diski | ESD 030 05 Fren Diski | Fren Diski Iveco Eurocargo Stralis Trakker 8 Delik Arka 030","https://www.frenciniz.com/urun/217/fren-diski-iveco-eurocargo-stralis-trakker-8-delik-arka-030-oem-52226-esd-030-05-ekersan","59","4211.44"
"108","853","Fren Pabucu","Fren Pabucu Ford Cargo 20 cm OEM (A) E3 EYD 206 05","Ford Cargo Fren Pabucu | Ford Cargo (A) E3 | (A) E3 Fren Pabucu | EYD 206 05 Fren Pabucu | Fren Pabucu Ford Cargo 20 cm","https://www.frenciniz.com/urun/853/fren-pabucu-ford-cargo-20-cm-oem-a-e3-eyd-206-05-ekersan","56","924"
"108","178","Fren Diski","Fren Diski Otokar Doruk Sultan Ön OEM 16H00-05 ESD 090 07","Otokar Doruk Fren Diski | Otokar Doruk 16H00-05 | 16H00-05 Fren Diski | ESD 090 07 Fren Diski | Fren Diski Otokar Doruk Sultan Ön","https://www.frenciniz.com/urun/178/fren-diski-otokar-doruk-sultan-on-oem-16h00-05-esd-090-07-ekersan","55","4424.14"
"108","282","Fren Diski","Fren Diski Iveco Eurocargo Stralis Trakker Ön OEM 5802234113 ESD 030 25","Iveco Eurocargo Fren Diski | Iveco Eurocargo 5802234113 | 5802234113 Fren Diski | ESD 030 25 Fren Diski | Fren Diski Iveco Eurocargo Stralis Trakker Ön","https://www.frenciniz.com/urun/282/fren-diski-iveco-eurocargo-stralis-trakker-on-oem-5802234113-esd-030-25-ekersan","54","4945.25"
"108","161","Fren Diski","Fren Diski Kögel Krone OEM 9267086 ESD 220 02","Gigant dorse dingili Fren Diski | Gigant dorse dingili 9267086 | 9267086 Fren Diski | ESD 220 02 Fren Diski | Fren Diski Kögel Krone","https://www.frenciniz.com/urun/161/fren-diski-kogel-krone-oem-9267086-esd-220-02-ekersan","53","5360.02"
"108","43","Fren Diski","Fren Diski MAN L2000 M2000 TGM OEM 81508030027 ESD 020 17","MAN TGM Fren Diski | MAN TGM 81508030027 | 81508030027 Fren Diski | ESD 020 17 Fren Diski | Fren Diski MAN L2000 M2000 TGM","https://www.frenciniz.com/urun/43/fren-diski-man-l2000-m2000-tgm-oem-81508030027-esd-020-17-ekersan","50","4519.86"
"108","164","Fren Diski","Fren Diski Mitsubishi Canter Fuso Isuzu NPR NQR Otokar Doruk Sultan Arka 090 0613 OEM 16F00-05-248AA ESD 170 01","Mitsubishi Canter Fren Diski | Mitsubishi Canter 16F00-05-248AA | 16F00-05-248AA Fren Diski | ESD 170 01 Fren Diski | Fren Diski Mitsubishi Canter Fuso Isuzu NPR NQR Otokar Doruk Sultan Arka 090 0613","https://www.frenciniz.com/urun/164/fren-diski-mitsubishi-canter-fuso-isuzu-npr-nqr-otokar-doruk-sultan-arka-090-0613-oem-16f00-05","50","4519.86"
