id,name,sku,oem,category,new_image,source_product_id,source_name,source_sku,source_oem,source_image,match_score
424,Bijon Somunu EYD 92 30,EYD 92 30,,somun-civata,/img/frenciniz-generated/424_frenciniz.webp,773,Bijon Somunu SAF Holland SAĞ,EYD 92 04,,/img/773_08f26303e9_320.webp,82
425,YTE DORSE YAYI,EYD 70 67,,yay,/img/frenciniz-generated/425_frenciniz.webp,821,JUMBO DORSE YAYI,EYD 70 12,(A) C4,/img/821_ee3493e56e_320.webp,106
427,Porya Kapağı EYD 700 06 1,EYD 700 06-1,,porya,/img/frenciniz-generated/427_frenciniz.webp,811,Porya Kapağı EYD 700 06,EYD 700 06,,/img/811_aebb8215ca_320.webp,122
428,Roll Körük Mercedes Travego Tourismo,FT 34644,"0003270101 , 0003270201 , 3073270101 ,1134445",suspansiyon-korugu,/img/frenciniz-generated/428_frenciniz.webp,896,Roll Körük Mercedes Travego Tourismo,42720.R,"3873280101 , 81436010033 , 1629193 , 0220024100",/img/896_5ce9b1f339_320.webp,60
429,Süspansiyon Körüğü FT 3498608 KP,FT 3498608-KP,,suspansiyon-korugu,/img/frenciniz-generated/429_frenciniz.webp,459,Süspansiyon Körüğü FT 34881,FT 34881,,/img/459_7f00c46a8e_320.webp,42
430,Roll Körük Mercedes Travego Tourismo,FT 34720,"3873280101 , 81436010033 , 1629193 , 0220024100",suspansiyon-korugu,/img/frenciniz-generated/430_frenciniz.webp,896,Roll Körük Mercedes Travego Tourismo,42720.R,"3873280101 , 81436010033 , 1629193 , 0220024100",/img/896_5ce9b1f339_320.webp,340
431,Bijon Somunu BPW ECOPlus E.M,EYD 92 28,,somun-civata,/img/frenciniz-generated/431_frenciniz.webp,773,Bijon Somunu SAF Holland SAĞ,EYD 92 04,,/img/773_08f26303e9_320.webp,82
432,TIRSAN DORSE KISA YAY 24 CM,EYD 70 04-3,(A) B4,yay,/img/frenciniz-generated/432_frenciniz.webp,828,TIRSAN DORSE ORTA YAY (SERTEL) 27 CM,EYD 70 04-1,(A) B4,/img/828_51393fda1c_320.webp,274
433,MAN ABS SENSÖRÜ SAĞ 300CM,EF-4410329880,,abs-sensoru-modulu-kablo,/img/frenciniz-generated/433_frenciniz.webp,457,MAN ABS SENSÖRÜ ÖN SAĞ 150CM,EF-81.271206176,,/img/457_7b4400b0d1_320.webp,60
434,MAN ABS SENSÖRÜ SOL 300CM,EF-4410329870,,abs-sensoru-modulu-kablo,/img/frenciniz-generated/434_frenciniz.webp,457,MAN ABS SENSÖRÜ ÖN SAĞ 150CM,EF-81.271206176,,/img/457_7b4400b0d1_320.webp,60
435,JUMBO DORSE YAYI BPV,EYD 70 66,,yay,/img/frenciniz-generated/435_frenciniz.webp,821,JUMBO DORSE YAYI,EYD 70 12,(A) C4,/img/821_ee3493e56e_320.webp,118
436,Fren Körüğü Disk imdatlı körüğü Kampana imdatlı körüğü körüğü 57 mm,8106-2,,fren-korugu,/img/frenciniz-generated/436_frenciniz.webp,963,Fren Körüğü Disk imdatlı körüğü Kampana imdatlı körüğü körüğü 64 mm,8106-1,,/img/963_e6e80ca39c_320.webp,100
437,Fren Körüğü Disk imdatlı körüğü Kampana imdatlı körüğü körüğü,EYD 100 67-K,,fren-korugu,/img/frenciniz-generated/437_frenciniz.webp,623,Fren Körüğü EYD 100 67,EYD 100 67,,/img/623_038bd9fd08_320.webp,122
438,Fren Körüğü Disk imdatlı körüğü Kampana imdatlı körüğü körüğü,EYD 100 66-K,,fren-korugu,/img/frenciniz-generated/438_frenciniz.webp,625,Fren Körüğü EYD 100 66,EYD 100 66,,/img/625_6ba0df4795_320.webp,122
