"rank","score","priority","id","sku","name","category","group","part","price","stock","oem","compat","image","demand_group","demand_rank","url"
"44","29","sales-priority-1","220","ESD 030 02","1906461 Ford Cargo Fren Diski ESD 030 02","Fren Diski","disk","fren diski","4604.94","241","1906461, 1906438, 7182305, 7179778, 2992470, 2996329, 7192305","Iveco Eurocargo | Iveco Eurotech | Iveco Stralis | Otoyol / Iveco otobüs | Iveco Stralis 430","yes","","","https://www.frenciniz.com/urun/220/1906461-ford-cargo-fren-diski-esd-030-02-ekersan"
"45","29","sales-priority-1","74","ESD 120 03-1","DC462A315AA Ford Cargo Krone Dorse Kögel Dorse Fren Diski ABS'li Arka","Fren Diski","disk","fren diski","4700.65","223","DC462A315AA","Ford Cargo | WABCO ABS/EBS sistemi | Dorse EBS sistemi | Kamyon / treyler ABS sensör hattı | Ford Cargo 1846","yes","","","https://www.frenciniz.com/urun/74/dc462a315aa-ford-cargo-krone-dorse-kogel-dorse-fren-diski-abs-li-arka-ekersan"
"46","29","sales-priority-1","226","ESD 020 04","81508030026 MAN TGA TGS TGX TGM Fren Diski ESD 020 04","Fren Diski","disk","fren diski","2680.01","207","81508030026, 81508030024","MAN L2000 | MAN M2000 | MAN TGA 18.430 | MAN TGA 18.460 | MAN TGS 18.440","yes","","","https://www.frenciniz.com/urun/226/81508030026-man-tga-tgs-tgx-tgm-fren-diski-esd-020-04-ekersan"
"47","29","sales-priority-1","215","ESD 030 10","7187541 Ford Cargo Fren Diski 6CM 14 Delik Ön","Fren Diski","disk","fren diski","3924.30","206","7187541, 2995894, 2995702","Iveco Eurocargo | Iveco Stralis | Iveco Trakker | Iveco Stralis 430 | Iveco Stralis 450","yes","","","https://www.frenciniz.com/urun/215/7187541-ford-cargo-fren-diski-6cm-14-delik-on-ekersan"
"48","29","sales-priority-1","225","ESD 020 05","81508030024 MAN TGA TGS TGX TGM Fren Diski ESD 020 05","Fren Diski","disk","fren diski","2807.63","196","81508030024, 81508030022","MAN L2000 | MAN M2000 | MAN TGA 18.430 | MAN TGA 18.460 | MAN TGS 18.440","yes","","","https://www.frenciniz.com/urun/225/81508030024-man-tga-tgs-tgx-tgm-fren-diski-esd-020-05-ekersan"
"49","29","sales-priority-1","200","ESD 070 03","4079000410 Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Fren Diski ESD 070 03","Fren Diski","disk","fren diski","4168.90","170","4079000410, 4079000700, 4079000701","SAF dorse dingili | SAF Holland treyler | SAF Holland | SAF Intradisc | SAF Intrax","yes","","","https://www.frenciniz.com/urun/200/4079000410-ford-cargo-saf-dorse-krone-dorse-kogel-dorse-fren-diski-esd-070-03-ekersan"
"50","29","sales-priority-1","233","ESD 010 03","9754230612 Mercedes Axor Actros Fren Diski ESD 010 03","Fren Diski","disk","fren diski","3789.91","129","9754230612, 9754230012, 9754230312","Mercedes-Benz Actros | Mercedes-Benz Axor | Actros 1840 | Actros 1841 | Actros 1844","yes","","","https://www.frenciniz.com/urun/233/9754230612-mercedes-axor-actros-fren-diski-esd-010-03-ekersan"
"51","29","sales-priority-1","198","ESD 070 05","0308834040 Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Fren Diski ESD 070 05","Fren Diski","disk","fren diski","4573.03","119","0308834040, 0308834047, 0300224093","BPW dorse dingili | BPW ECOPlus dingil | BPW treyler | BPW ECOPlus | BPW 9 ton","yes","","","https://www.frenciniz.com/urun/198/0308834040-ford-cargo-bpw-dorse-krone-dorse-kogel-dorse-fren-diski-esd-070-05-ekersan"
"52","29","sales-priority-1","196","ESD 070 07","0308834100 Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Fren Diski ESD 070 07","Fren Diski","disk","fren diski","4573.03","118","0308834100, 0308834107","BPW dorse dingili | BPW ECOPlus dingil | BPW treyler | BPW ECOPlus | BPW 9 ton","yes","","","https://www.frenciniz.com/urun/196/0308834100-ford-cargo-bpw-dorse-krone-dorse-kogel-dorse-fren-diski-esd-070-07-ekersan"
"53","28","sales-priority-1","97","ESK 160 29-S","52809 Ford Cargo Krone Dorse Kögel Dorse Fren Kampanası ESK 160 29-S","Fren Kampanası","kampana","fren kampanasi","4950.09","1278","52809","Kamyon | Tır / çekici | Otobüs | Dorse | Krone dorse","yes","","","https://www.frenciniz.com/urun/97/52809-ford-cargo-krone-dorse-kogel-dorse-fren-kampanasi-esk-160-29-s-ekersan"
