"campaign","ad_group","match_type","keyword","final_url","product_id","category","demand_group","stock","price"
"Frenciniz Urun Arama - Exact","Bijon","Exact","99730 DAF Cf Xf Bijon DPS ESB 1010 20","https://www.frenciniz.com/urun/397/99730-daf-cf-xf-bijon-dps-esb-1010-20-ekersan","397","Bijon","","1077","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","DAF CF/XF Bijon","https://www.frenciniz.com/urun/397/99730-daf-cf-xf-bijon-dps-esb-1010-20-ekersan","397","Bijon","","1077","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","DAF CF/XF 99730","https://www.frenciniz.com/urun/397/99730-daf-cf-xf-bijon-dps-esb-1010-20-ekersan","397","Bijon","","1077","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","46390478 Ford Cargo Bijon DPS ESB 610 10","https://www.frenciniz.com/urun/315/46390478-ford-cargo-bijon-dps-esb-610-10-ekersan","315","Bijon","","1026","120.96"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Iveco Eurocargo Bijon","https://www.frenciniz.com/urun/315/46390478-ford-cargo-bijon-dps-esb-610-10-ekersan","315","Bijon","","1026","120.96"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Iveco Eurocargo 46390478","https://www.frenciniz.com/urun/315/46390478-ford-cargo-bijon-dps-esb-610-10-ekersan","315","Bijon","","1026","120.96"
"Frenciniz Urun Arama - Exact","Bijon","Exact","1368692 Scania P G R Bijon DPS ESB 910 20-R","https://www.frenciniz.com/urun/290/1368692-scania-p-g-r-bijon-dps-esb-910-20-r-ekersan","290","Bijon","","1022","210.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Scania 4 serisi Bijon","https://www.frenciniz.com/urun/290/1368692-scania-p-g-r-bijon-dps-esb-910-20-r-ekersan","290","Bijon","","1022","210.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Scania 4 serisi 1368692","https://www.frenciniz.com/urun/290/1368692-scania-p-g-r-bijon-dps-esb-910-20-r-ekersan","290","Bijon","","1022","210.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","0000190220-190513 Renault Premium Magnum Kerax Midlum D Serisi Bijon 103 mm Arka","https://www.frenciniz.com/urun/357/0000190220-190513-renault-premium-magnum-kerax-midlum-d-serisi-bijon-103-mm-arka-ekersan","357","Bijon","","927","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Renault Trucks Premium Bijon","https://www.frenciniz.com/urun/357/0000190220-190513-renault-premium-magnum-kerax-midlum-d-serisi-bijon-103-mm-arka-ekersan","357","Bijon","","927","199.31"
"Frenciniz Urun Arama - Exact","Bijon","Exact","Renault Trucks Premium 0000190220-190513","https://www.frenciniz.com/urun/357/0000190220-190513-renault-premium-magnum-kerax-midlum-d-serisi-bijon-103-mm-arka-ekersan","357","Bijon","","927","199.31"
